"","major","degree","decision_method","gpa","gre_verbal","gre_quant","status","uni_faculty","uni_pub","decision_month"
"10715","CS","MS","E-mail",3.75,159,166,"International",51,5.3,"02"
"2694","CS","PhD","E-mail",NA,NA,NA,"American",68,8.7,"02"
"291","ECE","PhD","Website",NA,NA,NA,"International with US Degree",52,6.4,"04"
"457","CS","MS","E-mail",NA,NA,NA,"International",22,2.4,"04"
"12694","CS","MS","Website",NA,NA,NA,"International",42,5.4,"03"
"11080","CS","PhD","E-mail",NA,NA,NA,"International",152,18.1,"02"
"2646","CS","PhD","E-mail",NA,NA,NA,"International",57,8.4,"02"
"3318","CS","MS","E-mail",3.67,160,167,"International",53,6.9,"01"
"11221","CS","MS","E-mail",NA,NA,NA,"International",152,18.1,"02"
"1645","CS","MS","E-mail",3.4,164,165,"International",30,2.3,"03"
"15550","CS","PhD","E-mail",NA,NA,NA,"International",22,2.8,"02"
"11413","CS","PhD","E-mail",NA,NA,NA,"International",57,8.4,"02"
"10038","CS","MS","E-mail",NA,168,166,"International",47,5.8,"03"
"5970","CS","PhD","Phone",3.7,156,169,"International",152,18.1,"02"
"10483","CS","PhD","E-mail",NA,NA,NA,"International",30,2.3,"02"
"2762","CS","PhD","E-mail",NA,NA,NA,"International",57,8.4,"02"
"7850","CS","MS","E-mail",3.84,160,165,"International",26,3.3,"02"
"7135","ECE","MS","E-mail",3.87,150,170,"International with US Degree",68,8.7,"03"
"14560","CS","PhD","E-mail",3.8,151,166,"International",53,6.9,"04"
"12889","CS","PhD","E-mail",3.4,168,166,"International",48,5.9,"03"
"13105","HCI","MS","E-mail",3.9,169,166,"International with US Degree",152,18.1,"03"
"12932","CS","PhD","E-mail",NA,NA,NA,"International",37,5,"03"
"15138","ECE","PhD","E-mail",NA,NA,NA,"Other",22,2.5,"03"
"11974","ECE","PhD","E-mail",NA,NA,NA,"International",13,1.8,"04"
"2607","CS","MS","E-mail",NA,NA,NA,"International",152,18.1,"02"
"4335","ECE","PhD","E-mail",NA,NA,NA,"International",15,1.5,"03"
"14297","ECE","MS","Website",NA,NA,NA,"International",26,2.3,"05"
"5510","CS","PhD","E-mail",NA,NA,NA,"International",52,6.4,"02"
"5374","CS","PhD","E-mail",3.96,148,170,"International",48,5.9,"02"
"6920","CS","MS","E-mail",3.6,155,163,"International",57,11.5,"03"
"2526","CS","PhD","E-mail",NA,155,165,"International",68,8.7,"02"
"6351","CS","MS","Website",NA,NA,NA,"International",46,5.6,"04"
"8334","CS","PhD","E-mail",3.85,154,169,"International",152,18.1,"02"
"16444","CS","PhD","E-mail",3.73,160,166,"American",42,5.4,"01"
"10423","CS","MS","E-mail",NA,NA,NA,"American",25,3.5,"02"
"11602","CS","PhD","E-mail",NA,NA,NA,"International",83,9.9,"01"
"9633","ECE","MS","Other",NA,NA,NA,"Other",55,4.3,"03"
"10897","CS","PhD","Other",NA,NA,NA,"Other",73,6.7,"02"
"7683","ECE","PhD","E-mail",3.65,166,150,"International",32,2.7,"03"
"8774","ECE","PhD","E-mail",3.52,157,168,"International",39,2.4,"01"
"3597","CS","MS","E-mail",3.05,154,162,"American",26,2.3,"06"
"10828","ECE","PhD","E-mail",3.81,152,170,"International",53,4.8,"02"
"8142","CS","MS","E-mail",4,155,159,"International",30,2.3,"02"
"9217","ECE","MS","E-mail",NA,157,164,"International",42,5.4,"04"
"9685","ECE","MS","E-mail",NA,NA,NA,"International",30,2.3,"01"
"695","CS","PhD","E-mail",NA,NA,NA,"International",63,8.6,"03"
"6544","CS","MS","E-mail",3.6,156,166,"International",37,5,"04"
"15456","CS","PhD","E-mail",NA,NA,NA,"International",48,5.9,"03"
"6029","CS","PhD","E-mail",4,170,156,"International",57,8.4,"02"
"4578","ECE","MS","E-mail",3.8,152,161,"International",22,2.5,"03"
"2477","CS","PhD","E-mail",3.5,152,169,"American",83,11.1,"02"
"1355","CS","MS","E-mail",NA,152,165,"International",47,3,"03"
"15341","CS","MS","E-mail",NA,NA,NA,"American",73,6.7,"03"
"10808","CS","MS","E-mail",NA,NA,NA,"International",26,2.5,"02"
"5382","CS","MS","E-mail",NA,NA,NA,"International",48,5.9,"02"
"14267","ECE","PhD","Website",3.89,156,166,"International",37,3.1,"01"
"14389","ECE","PhD","E-mail",NA,NA,NA,"International",13,1.8,"04"
"7847","CS","PhD","E-mail",NA,NA,NA,"International",22,2.4,"02"
"14771","ECE","PhD","E-mail",NA,NA,NA,"International",83,9.9,"03"
"14287","ECE","PhD","E-mail",NA,NA,NA,"International",52,6.4,"06"
"5462","CS","PhD","E-mail",NA,NA,NA,"International",152,18.1,"02"
"6704","CS","MS","E-mail",NA,NA,NA,"International with US Degree",53,6.9,"04"
"9347","CS","MS","Website",NA,NA,NA,"American",21,2.4,"04"
"82","CS","MS","E-mail",NA,164,163,"International",22,2.5,"05"
"6869","ECE","MS","E-mail",NA,NA,NA,"International",83,11.1,"03"
"10630","CS","MS","E-mail",NA,NA,NA,"International",53,4.8,"02"
"1060","CS","MS","Website",NA,153,165,"International",26,2.3,"03"
"5544","CS","PhD","E-mail",NA,NA,NA,"International",55,4.7,"02"
"15664","CS","PhD","E-mail",NA,NA,NA,"International",47,5.8,"02"
"3605","CS","PhD","E-mail",NA,152,168,"International",46,4.3,"05"
"10751","CS","PhD","E-mail",NA,NA,NA,"American",152,18.1,"02"
"10605","CS","MS","Website",3.25,162,169,"American",26,3.3,"02"
"7083","CS","PhD","E-mail",NA,NA,NA,"International with US Degree",47,5.8,"03"
"10167","IS","MS","Website",3.73,163,164,"American",46,5.6,"03"
"3252","CS","PhD","E-mail",NA,NA,NA,"American",68,8.7,"02"
"1681","CS","MS","Website",NA,159,166,"International",52,6.4,"03"
"10253","CS","PhD","E-mail",NA,NA,NA,"International",48,5.9,"03"
"13476","CS","PhD","E-mail",NA,NA,NA,"International",68,8.7,"02"
"14164","CS","PhD","E-mail",NA,NA,NA,"American",46,5.6,"02"
"9197","CS","PhD","Website",NA,NA,NA,"International",52,6.4,"04"
"5910","CS","MS","Website",NA,NA,NA,"International",53,4.8,"01"
"4420","CS","MS","E-mail",3.82,163,168,"International",57,11.5,"03"
"15569","CS","MS","Other",NA,NA,NA,"International",83,9.9,"02"
"10416","CS","PhD","E-mail",NA,NA,NA,"International with US Degree",15,1.5,"02"
"15735","CS","PhD","E-mail",NA,NA,NA,"International",10,1.3,"02"
"4325","CS","PhD","E-mail",NA,NA,NA,"International with US Degree",24,2,"02"
"909","CS","MS","E-mail",3.7,158,170,"International",48,5.9,"03"
"1614","CS","MS","E-mail",NA,NA,NA,"International with US Degree",83,9.9,"03"
"2513","CS","PhD","E-mail",NA,NA,NA,"International",68,8.7,"02"
"5412","CS","PhD","E-mail",3.98,156,162,"International",48,5.9,"02"
"3249","CS","PhD","Phone",NA,NA,NA,"International",152,18.1,"02"
"6964","ECE","PhD","Website",NA,NA,NA,"International",42,5.4,"03"
"5831","CS","MS","E-mail",3.99,163,170,"American",53,4.8,"02"
"1316","CS","MS","Website",3.7,159,165,"International",25,3.5,"03"
"12979","CS","MS","Phone",3.68,157,153,"American",12,1.6,"02"
"15724","CS","PhD","Other",NA,NA,NA,"International",42,5.4,"02"
