"","major","degree","decision_method","gpa","gre_verbal","gre_quant","status","uni_faculty","uni_pub","decision_month"
"304","CS","MS","E-mail",3.6,158,163,"International",47,5.8,"04"
"10369","CS","MS","E-mail",3.3,158,165,"American",83,9.9,"03"
"3720","CS","PhD","E-mail",NA,NA,NA,"International with US Degree",24,2,"04"
"14163","CS","PhD","Postal Service",NA,NA,NA,"International",152,18.1,"02"
"906","CS","MS","E-mail",NA,NA,NA,"International",47,5.8,"04"
"1696","CS","PhD","E-mail",NA,NA,NA,"International with US Degree",46,4.3,"03"
"1373","CS","MS","E-mail",3.84,157,169,"International",57,11.5,"03"
"44","ECE","MS","E-mail",3.9,156,167,"International",50,5.7,"10"
"8949","CS","MS","E-mail",NA,NA,NA,"International",39,2.4,"05"
"2400","CS","PhD","E-mail",3.9,161,169,"American",37,3.4,"02"
"874","ECE","PhD","E-mail",4,170,148,"International",83,9.9,"04"
"1477","CS","PhD","E-mail",3.5,155,162,"International",26,2.3,"02"
"13950","CS","PhD","E-mail",NA,NA,NA,"International",57,11.5,"02"
"14956","ECE","MS","E-mail",3.44,156,164,"International",48,5.9,"03"
"4155","CS","MS","E-mail",3.66,153,163,"International with US Degree",68,8.7,"03"
"5153","CS","PhD","E-mail",3.67,141,169,"International",37,5,"02"
"12210","CS","MS","Website",NA,NA,NA,"International",37,5,"03"
"8853","CS","PhD","E-mail",3.43,152,170,"International",20,1.5,"01"
"14840","ECE","MS","Website",NA,163,164,"International",50,4.7,"03"
"9654","ECE","PhD","E-mail",3.53,161,166,"International",63,8.6,"03"
"15755","CS","PhD","Website",NA,NA,NA,"American",85,12.3,"02"
"8127","CS","PhD","E-mail",NA,NA,NA,"American",22,1.9,"02"
"13276","HCI","MS","E-mail",NA,NA,NA,"American",52,6.4,"02"
"12204","CS","PhD","Website",NA,NA,NA,"International",25,3.5,"03"
"5060","ECE","PhD","Website",NA,NA,NA,"International",85,12.3,"02"
"14676","CS","MS","Website",NA,NA,NA,"International",52,6.4,"04"
"13654","CS","PhD","E-mail",NA,NA,NA,"International",35,3.4,"02"
"4993","CS","PhD","Website",NA,NA,NA,"International",26,3.3,"03"
"15929","CS","PhD","E-mail",NA,NA,NA,"American",57,8.4,"02"
"2395","CS","MS","E-mail",3.65,169,150,"International",51,5.3,"02"
"9961","ECE","MS","E-mail",NA,NA,NA,"International",21,2.1,"03"
"12290","CS","MS","E-mail",NA,NA,NA,"International",47,5.8,"03"
"9474","ECE","PhD","E-mail",NA,NA,NA,"International",42,5.4,"03"
"9102","CS","PhD","E-mail",NA,NA,NA,"International",52,6.4,"04"
"2846","CS","PhD","E-mail",NA,NA,NA,"International",57,8.4,"02"
"12432","ECE","PhD","E-mail",NA,NA,NA,"International",22,2.4,"03"
"4071","CS","MS","Website",3.2,161,161,"International",50,4.7,"04"
"9159","ECE","PhD","E-mail",NA,NA,NA,"International with US Degree",13,1.8,"04"
"12608","ECE","PhD","E-mail",NA,NA,NA,"International",48,5.9,"02"
"5439","CS","PhD","E-mail",NA,NA,NA,"International",55,4.3,"02"
"2244","ECE","MS","E-mail",NA,NA,NA,"International",32,2.7,"02"
"15694","CS","PhD","Website",NA,NA,NA,"International",26,3.3,"02"
"9499","ECE","MS","E-mail",NA,NA,NA,"Other",47,5.8,"03"
"9104","CS","PhD","E-mail",NA,NA,NA,"International",50,5.7,"04"
"14405","ECE","PhD","E-mail",NA,NA,NA,"American",73,6.7,"01"
"4366","CS","PhD","E-mail",4,147,161,"International",50,4.7,"03"
"2914","CS","PhD","E-mail",NA,170,166,"International",57,11.5,"02"
"11042","CS","MS","E-mail",3.56,167,166,"International",152,18.1,"02"
"7863","CS","PhD","E-mail",NA,NA,NA,"International",32,2.7,"02"
"10229","ECE","MS","E-mail",3.84,165,166,"International with US Degree",83,11.1,"03"
"13145","CS","PhD","Website",NA,NA,NA,"American",24,2.1,"03"
"9966","ECE","PhD","E-mail",3.7,152,165,"International",48,5.9,"12"
"8897","CS","MS","E-mail",3.87,168,161,"American",47,5.8,"12"
"2232","CS","PhD","E-mail",NA,NA,NA,"International",55,4.3,"02"
"10775","CS","MS","E-mail",3.9,170,169,"International",152,18.1,"02"
"13593","CS","PhD","E-mail",3.6,160,166,"International",52,6.4,"02"
"11268","CS","PhD","E-mail",3.84,151,168,"International",73,6.7,"02"
"6918","CS","PhD","E-mail",NA,NA,NA,"International",37,5,"03"
"6288","CS","PhD","E-mail",NA,NA,NA,"International",39,2.4,"05"
"5648","CS","MS","Website",NA,161,169,"International",26,2.5,"02"
"5883","ECE","PhD","Website",3.6,159,170,"International",42,5.4,"02"
"7089","CS","PhD","E-mail",NA,NA,NA,"International",46,4.3,"03"
"2108","CS","PhD","Other",3.83,165,166,"International",29,4.2,"03"
"2168","ECE","MS","Website",NA,NA,NA,"International",21,2.4,"02"
"14412","CS","PhD","E-mail",NA,NA,NA,"International",19,1.9,"04"
"6855","CS","PhD","Website",NA,NA,NA,"International with US Degree",22,2.8,"03"
"9257","CS","PhD","E-mail",NA,NA,NA,"American",152,18.1,"02"
"3968","CS","MS","Website",3.41,167,169,"International",73,6.7,"04"
"1755","CS","MS","E-mail",NA,NA,NA,"International with US Degree",83,11.1,"03"
"6573","CS","PhD","E-mail",NA,NA,NA,"International",47,3,"04"
"5351","CS","MS","E-mail",NA,NA,NA,"International with US Degree",48,5.9,"02"
"4848","HCI","MS","E-mail",3.4,162,159,"International",73,6.7,"03"
"1053","CS","MS","E-mail",3,NA,NA,"International",19,1.5,"02"
"14122","CS","PhD","E-mail",NA,NA,NA,"International",57,8.4,"02"
"15993","CS","PhD","E-mail",NA,NA,NA,"International",83,11.1,"02"
"12235","CS","PhD","E-mail",NA,NA,NA,"International",23,1.9,"03"
"9082","CS","PhD","E-mail",3.4,NA,NA,"International",12,1.4,"04"
"10552","CS","PhD","Website",NA,NA,NA,"International",85,12.3,"02"
"14889","CS","PhD","E-mail",NA,NA,NA,"American",22,2.5,"03"
"3512","CS","PhD","E-mail",3.9,154,170,"American",50,5.7,"01"
"3831","CS","PhD","E-mail",NA,NA,NA,"International",12,1.5,"04"
"5158","ECE","PhD","E-mail",NA,NA,NA,"American",53,6.9,"02"
"14038","CS","PhD","E-mail",NA,NA,NA,"International",85,12.3,"02"
"12810","CS","MS","Website",3.59,139,164,"International",55,4.3,"03"
"5132","CS","PhD","Website",3.4,154,169,"International",24,2.1,"02"
"13570","ECE","PhD","E-mail",NA,NA,NA,"International",53,4.8,"02"
"15386","CS","PhD","Website",NA,NA,NA,"International with US Degree",15,1.9,"03"
"11018","CS","PhD","E-mail",3.87,164,161,"American",63,8.6,"02"
"6381","CS","PhD","E-mail",3.96,147,161,"International",15,1.5,"03"
"1497","CS","MS","E-mail",NA,163,167,"International",37,5,"03"
"14432","CS","PhD","Website",NA,NA,NA,"International",37,3.4,"04"
"3978","CS","MS","Website",3.3,158,161,"International",73,6.7,"04"
"4831","CS","PhD","Website",3.48,160,163,"American",13,1.6,"03"
"6105","CS","PhD","Website",NA,NA,NA,"Other",24,2,"01"
"14032","CS","PhD","E-mail",NA,158,166,"International",85,12.3,"02"
"7721","CS","PhD","E-mail",NA,NA,NA,"International",43,3.6,"02"
"14331","CS","PhD","Website",NA,NA,NA,"International",50,4.7,"05"
"5658","CS","MS","E-mail",NA,NA,NA,"International",26,2.5,"02"
"8008","CS","PhD","E-mail",NA,NA,NA,"International with US Degree",51,5.3,"02"
"2216","ECE","PhD","E-mail",NA,NA,NA,"International with US Degree",85,12.3,"02"
"7934","CS","PhD","E-mail",NA,NA,NA,"American",46,5.6,"02"
"6124","CS","PhD","E-mail",NA,165,166,"International",NA,NA,"01"
"5419","CS","PhD","E-mail",3.78,165,170,"American",48,5.9,"02"
"4244","CS","MS","E-mail",3.9,159,170,"International",42,5.4,"03"
"8553","ECE","PhD","E-mail",NA,NA,NA,"American",83,11.1,"02"
"12689","CS","PhD","E-mail",3.62,165,159,"International with US Degree",15,1.5,"03"
"14056","CS","PhD","Phone",NA,NA,NA,"International",57,8.4,"02"
"12015","ECE","PhD","E-mail",NA,NA,NA,"International",38,3.1,"04"
"5678","CS","PhD","E-mail",NA,NA,NA,"American",50,4.7,"02"
"1334","CS","MS","E-mail",3.6,167,167,"International",43,3.6,"03"
"15988","CS","MS","E-mail",NA,NA,NA,"International",83,11.1,"02"
"14449","CS","PhD","E-mail",NA,NA,NA,"International",50,5.7,"04"
"8679","CS","PhD","E-mail",NA,NA,NA,"International",73,6.7,"02"
"4967","ECE","PhD","E-mail",NA,NA,NA,"International with US Degree",48,5.9,"03"
"9877","CS","MS","E-mail",3.75,168,166,"International",42,5.4,"03"
"7038","CS","PhD","E-mail",NA,NA,NA,"International with US Degree",83,11.1,"03"
"11588","ECE","PhD","E-mail",NA,161,166,"International",35,3.4,"01"
"12188","CS","PhD","E-mail",3.8,157,166,"American",12,1.8,"03"
"8800","CS","PhD","E-mail",3.7,153,165,"International",19,2.8,"01"
"12160","CS","MS","E-mail",NA,NA,NA,"International",55,4.7,"01"
"7094","CS","PhD","Website",NA,NA,NA,"American",24,1.6,"03"
"10580","ECE","PhD","Website",NA,NA,NA,"International with US Degree",85,12.3,"02"
"14853","CS","PhD","Website",NA,NA,NA,"American",42,5.4,"03"
"1788","CS","MS","Website",3.22,170,159,"American",73,6.7,"03"
"10640","CS","PhD","E-mail",3.78,163,158,"American",10,1.3,"02"
"6404","ECE","PhD","E-mail",NA,NA,NA,"International",53,6.9,"04"
"12493","ECE","PhD","Website",NA,NA,NA,"International",37,5,"03"
"4272","ECE","PhD","E-mail",3.5,167,160,"American",53,6.9,"03"
"10612","CS","PhD","E-mail",NA,NA,NA,"International",23,2.7,"02"
"4116","CS","MS","E-mail",3.8,154,166,"International",NA,NA,"04"
"5527","CS","MS","Website",NA,NA,NA,"International",55,4.7,"02"
"13734","CS","PhD","E-mail",NA,168,166,"International",13,1.6,"02"
"10066","CS","PhD","E-mail",NA,NA,NA,"International",37,5,"03"
"2124","CS","MS","E-mail",3.6,155,170,"International with US Degree",51,5.3,"02"
"11659","ECE","PhD","E-mail",NA,NA,NA,"International",83,9.9,"10"
"10235","CS","PhD","E-mail",3.87,164,161,"American",83,11.1,"03"
"808","CS","MS","E-mail",3.97,165,166,"International",47,5.8,"04"
"12719","CS","PhD","Website",NA,NA,NA,"International",42,5.4,"03"
"14346","ECE","PhD","Website",NA,NA,NA,"International",25,3.5,"04"
"14031","CS","MS","E-mail",3.8,153,161,"International",33,2.8,"02"
"16288","CS","PhD","E-mail",NA,NA,NA,"International",37,5,"02"
"14949","CS","PhD","E-mail",NA,NA,NA,"International with US Degree",19,2.8,"03"
"2165","ECE","PhD","E-mail",3.91,163,170,"International",73,6.7,"02"
"8752","CS","MS","E-mail",NA,NA,NA,"American",55,4.3,"01"
"4933","ECE","MS","E-mail",NA,NA,NA,"International",152,18.1,"03"
"13384","CS","PhD","Website",3.3,155,160,"International",26,3.3,"02"
"13036","CS","PhD","E-mail",NA,NA,NA,"International",83,9.9,"03"
"11828","CS","MS","E-mail",NA,NA,NA,"International with US Degree",73,6.7,"04"
"5933","CS","MS","Phone",NA,NA,NA,"Other",55,4.7,"02"
"10319","ECE","PhD","Website",3.77,164,164,"International with US Degree",29,4.2,"03"
"9447","CS","PhD","E-mail",NA,NA,NA,"International",63,8.6,"03"
"12050","ECE","MS","E-mail",3.7,154,156,"International",50,4.7,"04"
"3195","CS","PhD","Phone",NA,NA,NA,"International with US Degree",57,8.4,"02"
"2511","ECE","MS","E-mail",NA,NA,NA,"American",22,2.5,"02"
"13450","ECE","PhD","Website",NA,NA,NA,"International",85,12.3,"02"
"1964","CS","MS","E-mail",3.55,156,170,"International",42,2.6,"03"
"10993","CS","PhD","E-mail",3.88,167,166,"International",50,5.7,"02"
"2850","CS","PhD","E-mail",NA,NA,NA,"International with US Degree",57,8.4,"02"
"16248","CS","PhD","E-mail",NA,NA,NA,"American",37,5,"02"
"16294","CS","PhD","E-mail",NA,NA,NA,"American",37,5,"02"
"10233","CS","PhD","E-mail",NA,NA,NA,"International",83,11.1,"03"
"15262","ECE","MS","E-mail",NA,NA,NA,"International",26,2.3,"03"
"689","CS","PhD","E-mail",NA,NA,NA,"International",37,3.4,"04"
"658","CS","MS","E-mail",3.9,152,166,"International",42,5.4,"04"
"6136","CS","PhD","E-mail",NA,NA,NA,"American",42,5.4,"01"
"16119","CS","PhD","E-mail",NA,NA,NA,"International with US Degree",57,8.4,"02"
"10633","ECE","MS","E-mail",NA,NA,NA,"International",32,2.7,"02"
"14018","CS","PhD","E-mail",NA,NA,NA,"Other",37,5,"02"
"2922","CS","PhD","E-mail",NA,NA,NA,"International",24,2,"02"
"7449","CS","MS","Website",NA,NA,NA,"International",26,3.3,"03"
"14381","CS","MS","Website",NA,NA,NA,"International",55,4.3,"04"
"4168","CS","MS","E-mail",NA,158,166,"International",63,8.6,"03"
"14107","CS","PhD","E-mail",3.87,159,166,"International",57,8.4,"02"
"2906","ECE","PhD","E-mail",NA,NA,NA,"International",53,6.9,"02"
"5204","ECE","PhD","Website",4,164,168,"American",83,11.1,"02"
"6336","CS","PhD","E-mail",NA,NA,NA,"American",NA,NA,"04"
"12505","ECE","PhD","E-mail",NA,NA,NA,"International",19,2.8,"03"
"14671","CS","MS","E-mail",NA,143,156,"International",47,3,"04"
"9925","CS","PhD","E-mail",2,165,166,"International",68,8.7,"03"
"10778","CS","MS","E-mail",2.6,151,166,"International",26,2.5,"02"
"11944","CS","PhD","Website",NA,NA,NA,"International",42,5.4,"03"
"11515","ECE","PhD","E-mail",NA,NA,NA,"American",83,9.9,"01"
"15172","CS","PhD","Website",NA,NA,NA,"American",42,5.4,"03"
"9957","CS","MS","Website",NA,NA,NA,"International",50,4.7,"03"
"13364","CS","MS","Website",3.92,170,143,"International",26,2.5,"02"
"1052","CS","MS","E-mail",3.6,156,164,"International",53,6.9,"03"
"13858","CS","PhD","E-mail",NA,NA,NA,"American",51,5.3,"02"
"4504","CS","MS","Website",NA,NA,NA,"International with US Degree",35,3.4,"03"
"833","CS","MS","E-mail",NA,NA,NA,"American",53,6.9,"04"
"925","CS","MS","Website",3.35,160,170,"International",38,3.1,"03"
"4010","CS","MS","E-mail",NA,161,168,"International",37,5,"04"
"12459","ECE","MS","Website",NA,NA,NA,"International",25,3.5,"03"
"7232","CS","PhD","E-mail",NA,NA,NA,"International",83,9.9,"03"
"14007","CS","PhD","E-mail",3.63,164,159,"International with US Degree",24,2.1,"02"
"15475","CS","MS","E-mail",NA,156,166,"International",152,18.1,"03"
"10150","CS","PhD","E-mail",NA,NA,NA,"International with US Degree",12,1.8,"03"
"2321","CS","PhD","E-mail",3.38,158,170,"International",38,3.1,"02"
"12924","CS","PhD","Website",NA,NA,NA,"International",37,5,"03"
"11629","CS","PhD","E-mail",NA,NA,NA,"International with US Degree",83,9.9,"01"
"6807","CS","MS","Website",NA,NA,NA,"International",35,3.4,"03"
"5013","ECE","PhD","Website",NA,152,166,"International",55,4.3,"03"
"180","CS","PhD","E-mail",3.51,153,167,"International",39,2.4,"05"
"5857","CS","PhD","E-mail",NA,NA,NA,"International",25,3.5,"02"
"11989","CS","PhD","Website",NA,NA,NA,"International",21,2.4,"04"
"11181","CS","PhD","E-mail",NA,NA,NA,"International",152,18.1,"02"
"1228","CS","MS","E-mail",3.59,168,167,"American",57,11.5,"03"
"15295","CS","PhD","Website",NA,NA,NA,"International with US Degree",24,2.1,"03"
"13833","CS","PhD","E-mail",NA,NA,NA,"International with US Degree",85,12.3,"02"
"1543","CS","MS","E-mail",NA,NA,NA,"International",38,3.1,"03"
"2290","CS","PhD","Website",NA,NA,NA,"International with US Degree",33,2.8,"01"
"11440","CS","PhD","E-mail",NA,NA,NA,"International",152,18.1,"02"
"9643","CS","PhD","E-mail",NA,NA,NA,"International",48,5.9,"03"
"7365","CS","MS","Website",NA,NA,NA,"American",52,6.4,"03"
"13766","ECE","PhD","E-mail",NA,NA,NA,"International with US Degree",152,18.1,"02"
"6532","CS","MS","E-mail",NA,NA,NA,"International",53,6.9,"04"
"8962","CS","MS","E-mail",3.25,150,166,"American",28,2.9,"05"
"13938","CS","PhD","E-mail",NA,NA,NA,"International",57,11.5,"02"
"8521","CS","PhD","E-mail",3.95,164,163,"American",40,3.6,"01"
"9820","ECE","MS","E-mail",NA,NA,NA,"International",83,9.9,"03"
"14730","CS","MS","Website",NA,NA,NA,"International",39,2.4,"04"
"4609","CS","PhD","E-mail",NA,NA,NA,"International",37,5,"03"
"8327","CS","PhD","E-mail",3.88,169,170,"American",57,8.4,"02"
"522","CS","MS","E-mail",NA,NA,NA,"International",37,5,"04"
"9073","CS","MS","E-mail",3.7,163,166,"American",53,6.9,"04"
"6416","ECE","PhD","E-mail",NA,NA,NA,"International",53,6.9,"04"
"3507","IS","MS","E-mail",3.7,156,161,"International",46,5.6,"01"
"1721","CS","MS","E-mail",3.97,150,168,"International",47,3,"03"
"3469","CS","MS","E-mail",NA,NA,NA,"American",53,6.9,"01"
"327","CS","MS","E-mail",NA,NA,NA,"International",24,2.1,NA
"14168","CS","MS","E-mail",NA,153,166,"International",33,2.8,"02"
"12152","CS","MS","E-mail",NA,NA,NA,"International",40,3.6,"03"
"11703","CS","PhD","E-mail",NA,NA,NA,"International",22,1.9,"05"
"12125","CS","PhD","Website",NA,NA,NA,"International",53,4.8,"04"
"6679","CS","PhD","E-mail",NA,NA,NA,"International",53,6.9,"04"
"13607","CS","MS","E-mail",NA,NA,NA,"International",152,18.1,"02"
"7985","CS","PhD","E-mail",3.67,155,166,"International",48,5.9,"02"
"1992","CS","PhD","Website",NA,NA,NA,"International with US Degree",26,3.3,"03"
"9720","CS","MS","E-mail",3.48,157,167,"American",57,11.5,"03"
"10183","CS","PhD","E-mail",NA,NA,NA,"International with US Degree",25,3.5,"03"
"13110","CS","PhD","E-mail",NA,NA,NA,"International",47,5.8,"01"
"3909","CS","PhD","Website",NA,NA,NA,"International",73,6.7,"04"
"7567","CS","PhD","Website",NA,NA,NA,"International",25,3.5,"03"
"13280","ECE","PhD","E-mail",3.7,160,166,"American",22,2.4,"02"
"1600","CS","MS","E-mail",NA,NA,NA,"International",83,9.9,"03"
"9136","CS","MS","E-mail",4,165,166,"International",152,18.1,"02"
"14041","CS","PhD","E-mail",NA,NA,NA,"International",NA,NA,"02"
"11755","ECE","PhD","E-mail",NA,NA,NA,"International",22,2.5,"04"
"16167","CS","PhD","E-mail",NA,170,166,"International",26,3.3,"02"
"156","CS","MS","E-mail",NA,156,153,"Other",37,3.1,"05"
"119","CS","MS","Website",NA,160,170,"International",37,3.1,"05"
"15140","ECE","PhD","E-mail",NA,NA,NA,"American",22,2.5,"03"
"11119","CS","PhD","E-mail",4,152,166,"International",57,11.5,"02"
"6846","ECE","PhD","E-mail",NA,NA,NA,"International",21,2.1,"03"
"5955","CS","PhD","E-mail",4,163,170,"American",152,18.1,"02"
"11325","ECE","PhD","E-mail",NA,NA,NA,"International",24,2,"02"
"805","CS","MS","Website",4,150,162,"International",33,2.8,"04"
"14963","CS","MS","E-mail",NA,NA,NA,"International with US Degree",83,9.9,"03"
"4696","CS","MS","E-mail",NA,NA,NA,"International",83,9.9,"03"
"4838","CS","MS","E-mail",3.8,153,164,"International",39,2.4,"03"
"10363","CS","MS","Website",NA,NA,NA,"American",83,9.9,"02"
"2055","CS","MS","E-mail",NA,NA,NA,"American",50,4.7,"03"
"3501","CS","MS","E-mail",NA,NA,NA,"International",46,5.6,"01"
"14280","CS","PhD","E-mail",4,154,166,"International",43,3.6,"06"
"10662","ECE","PhD","E-mail",3.6,170,151,"International",35,3.4,"02"
"4584","CS","MS","E-mail",3.95,163,166,"International",30,2.3,"03"
"3617","CS","PhD","E-mail",NA,152,168,"International",38,3.1,"05"
"4028","CS","MS","E-mail",NA,162,170,"International",12,1.8,"04"
"16220","CS","PhD","E-mail",NA,NA,NA,"International",68,8.7,"02"
"1538","ECE","MS","E-mail",NA,NA,NA,"American",73,6.7,"03"
"4257","CS","MS","E-mail",NA,NA,NA,"International",55,4.3,"03"
"14796","CS","PhD","E-mail",NA,NA,NA,"International",21,2.4,"03"
"8550","ECE","PhD","E-mail",4,151,164,"International",83,11.1,"02"
"15421","CS","PhD","Website",NA,NA,NA,"International",55,4.3,"03"
"11079","CS","PhD","E-mail",NA,NA,NA,"International",57,11.5,"02"
"738","CS","MS","E-mail",3.93,160,165,"American",42,5.4,"04"
"6990","CS","PhD","E-mail",3.11,147,158,"International",43,3.6,"03"
"10177","CS","MS","E-mail",NA,NA,NA,"International",83,11.1,"03"
"2821","CS","MS","E-mail",NA,NA,NA,"International",48,5.9,"02"
"2891","CS","PhD","E-mail",NA,NA,NA,"International",48,5.9,"02"
"6482","CS","MS","E-mail",3.3,145,160,"International",42,2.6,"04"
"4294","CS","MS","E-mail",NA,NA,NA,"International",50,4.7,"03"
"2267","HCI","PhD","Other",NA,NA,NA,"International",152,18.1,"02"
"4296","CS","MS","E-mail",3.86,158,170,"International",68,8.7,"03"
"4538","ECE","MS","E-mail",NA,158,164,"International",26,2.3,"03"
"13254","CS","PhD","E-mail",NA,NA,NA,"American",47,5.8,"03"
"961","CS","PhD","Other",NA,NA,NA,"International",37,3.4,"03"
"13291","ECE","PhD","E-mail",NA,NA,NA,"International",68,8.7,"02"
"1685","CS","PhD","E-mail",NA,NA,NA,"American",22,2.4,"03"
"5304","CS","PhD","E-mail",3.7,151,164,"International",22,2.5,"02"
"16404","CS","PhD","E-mail",NA,NA,NA,"American",46,5.6,"01"
"2322","CS","MS","E-mail",3.9,166,170,"International",50,4.7,"02"
"7905","CS","MS","Website",3.84,159,165,"International",16,1.3,"02"
"15413","CS","PhD","E-mail",NA,NA,NA,"International",15,1.9,"03"
"6977","CS","MS","E-mail",NA,NA,NA,"International",55,4.3,"03"
"1525","CS","PhD","E-mail",NA,NA,NA,"International with US Degree",42,5.4,"03"
"6319","CS","MS","Website",NA,NA,NA,"International with US Degree",46,5.6,"05"
"8890","CS","PhD","E-mail",NA,NA,NA,"American",83,9.9,"01"
"10396","ECE","MS","E-mail",NA,NA,NA,"International with US Degree",47,5.8,"02"
"15545","CS","PhD","Website",NA,NA,NA,"American",46,5.6,"02"
"14802","CS","MS","Website",NA,NA,NA,"International with US Degree",21,2.4,"03"
"12281","CS","PhD","Website",NA,NA,NA,"International",24,1.6,"02"
"15967","CS","PhD","Phone",3.92,162,166,"American",57,8.4,"02"
"325","CS","MS","E-mail",3.4,155,165,"International",26,3.3,"02"
"3114","CS","PhD","E-mail",3.6,NA,NA,"American",57,11.5,"02"
"6748","CS","PhD","E-mail",3.68,147,167,"International",63,8.6,"04"
"7478","ECE","PhD","E-mail",3.8,159,168,"International",42,5.4,"03"
"6328","CS","MS","E-mail",NA,142,168,"International",19,1.9,"04"
"5852","ECE","PhD","E-mail",NA,NA,NA,"American",83,11.1,"02"
"4686","CS","MS","E-mail",3.2,160,161,"International",83,9.9,"03"
"2759","CS","MS","E-mail",NA,156,169,"International",48,5.9,"02"
"11858","CS","MS","E-mail",3.1,162,166,"International",46,4.3,"04"
"10450","ECE","MS","E-mail",NA,NA,NA,"International",53,4.8,"02"
"10961","ECE","PhD","E-mail",NA,NA,NA,"American",85,12.3,"02"
"4378","CS","MS","E-mail",3.89,161,164,"International",57,11.5,"03"
"13175","CS","PhD","E-mail",NA,NA,NA,"International",50,4.7,"03"
"13365","ECE","MS","E-mail",3.35,165,166,"International",53,4.8,"02"
"12486","ECE","PhD","E-mail",NA,NA,NA,"International with US Degree",37,5,"03"
"4067","CS","MS","E-mail",3.14,166,167,"International",46,4.3,"04"
"9625","CS","MS","E-mail",3.76,161,159,"American",73,6.7,"03"
"11414","CS","PhD","E-mail",NA,NA,NA,"International",57,8.4,"02"
"14016","CS","PhD","E-mail",NA,NA,NA,"International",37,5,"02"
"2652","CS","MS","E-mail",NA,NA,NA,"International",152,18.1,"02"
"4860","CS","MS","Website",4,170,169,"American",30,2.3,"03"
"2944","CS","PhD","E-mail",NA,NA,NA,"American",57,11.5,"02"
"3117","CS","PhD","E-mail",4,160,165,"International with US Degree",57,11.5,"02"
"129","CS","MS","Website",NA,NA,NA,"International",43,3.6,"05"
"11282","ECE","PhD","E-mail",NA,NA,NA,"American",73,6.7,"02"
"10634","CS","PhD","E-mail",NA,NA,NA,"International",23,2.7,"02"
"11468","CS","PhD","E-mail",3.9,160,163,"American",50,4.7,"01"
"8533","CS","PhD","E-mail",NA,NA,NA,"International",55,4.3,"02"
"14459","CS","MS","Phone",NA,NA,NA,"International",42,2.6,"04"
"5627","ECE","PhD","Website",NA,NA,NA,"Other",42,5.4,"02"
"15673","CS","PhD","E-mail",NA,NA,NA,"International",37,5,"02"
"14619","CS","PhD","E-mail",NA,NA,NA,"International",25,3.5,"04"
"16455","ECE","PhD","E-mail",NA,NA,NA,"International",48,5.9,"01"
"10433","ECE","PhD","E-mail",NA,NA,NA,"International",53,4.8,"02"
"4492","CS","PhD","E-mail",3.87,152,170,"International",23,2.7,"03"
"11488","ECE","PhD","E-mail",3.9,151,163,"International",48,5.9,"02"
"16424","ECE","PhD","E-mail",NA,NA,NA,"International",48,5.9,"01"
"14504","ECE","PhD","E-mail",NA,NA,NA,"International",53,6.9,"04"
"5647","CS","PhD","E-mail",NA,NA,NA,"International",NA,NA,"02"
"6756","CS","PhD","E-mail",NA,NA,NA,"International",63,8.6,"04"
"11921","CS","PhD","E-mail",3.6,153,166,"International",46,4.3,"04"
"9817","ECE","PhD","E-mail",NA,NA,NA,"International",83,9.9,"03"
"8948","CS","MS","Postal Service",3.4,150,160,"International",50,5.7,"05"
"9480","CS","MS","E-mail",NA,NA,NA,"International",15,1.5,"03"
"8748","CS","PhD","E-mail",NA,NA,NA,"International",57,8.4,"01"
"13240","CS","PhD","E-mail",3.2,159,163,"International",83,11.1,"03"
"9960","CS","MS","E-mail",3.17,158,166,"International",50,4.7,"03"
"15950","CS","PhD","E-mail",NA,NA,NA,"International",23,1.9,"02"
"15835","CS","PhD","E-mail",NA,NA,NA,"American",46,5.6,"02"
"16199","CS","PhD","E-mail",NA,NA,NA,"International",68,8.7,"02"
"13939","CS","PhD","E-mail",NA,NA,NA,"American",57,11.5,"02"
"7616","CS","PhD","Website",NA,NA,NA,"International",85,12.3,"03"
"14233","CS","MS","Website",NA,NA,NA,"International",55,4.7,"01"
"13077","CS","MS","E-mail",NA,NA,NA,"American",55,4.3,"03"
"15942","CS","PhD","E-mail",NA,NA,NA,"American",57,8.4,"02"
"12237","CS","PhD","E-mail",NA,NA,NA,"American",46,4.3,"03"
"15487","CS","PhD","E-mail",NA,NA,NA,"International",53,4.8,"03"
"9354","CS","PhD","E-mail",3.44,150,159,"International",35,3.4,"04"
"13397","CS","PhD","Website",NA,NA,NA,"International",26,3.3,"02"
"1356","ECE","PhD","E-mail",NA,166,151,"International",50,4.7,"03"
"999","CS","MS","Website",3.35,160,170,"International",73,6.7,"03"
"2081","ECE","MS","E-mail",NA,NA,NA,"International with US Degree",53,6.9,"03"
"14596","CS","MS","E-mail",3.35,158,164,"International",63,8.6,"04"
"16266","CS","PhD","E-mail",NA,NA,NA,"International",68,8.7,"02"
"3470","CS","PhD","E-mail",NA,NA,NA,"International with US Degree",83,9.9,"01"
"7125","CS","MS","E-mail",3.5,150,167,"International",25,3.5,"03"
"11036","ECE","PhD","E-mail",NA,NA,NA,"International",48,5.9,"02"
"15743","CS","PhD","E-mail",NA,NA,NA,"American",55,4.7,"02"
"16055","CS","PhD","E-mail",NA,NA,NA,"International with US Degree",46,5.6,"02"
"638","CS","MS","E-mail",3.13,160,169,"International",43,3.6,"04"
"613","ECE","PhD","E-mail",NA,NA,NA,"International",30,2.3,"04"
